Vial Number,Day Crosse ,Treatment,F1 Vial ,Virgin Vial,# of Females,Day Collected,Male Date,# of Males,Notes
66,1-Oct,21,15,69,1,24-Sep,24-Sep,1,
67,1-Oct,21,11,68,1,24-Sep,24-Sep,1,
68,1-Oct,21,11,68,1,24-Sep,24-Sep,1,
69,1-Oct,21,9,66,1,24-Sep,24-Sep,1,
70,1-Oct,21,9,66,1,24-Sep,24-Sep,1,
71,1-Oct,21,9,66,1,24-Sep,24-Sep,1,
72,1-Oct,21,10,67,1,24-Sep,24-Sep,1,
73,1-Oct,21,10,67,1,24-Sep,24-Sep,1,
74,1-Oct,21,10,67,1,24-Sep,24-Sep,1,
75,1-Oct,21,10,67,1,24-Sep,24-Sep,1,
76,1-Oct,21,10,67,1,24-Sep,24-Sep,1,
77,1-Oct,26,29,74,1,24-Sep,24-Sep,1,
78,1-Oct,26,29,74,1,24-Sep,24-Sep,1,
79,1-Oct,26,30,75,1,24-Sep,24-Sep,1,
80,1-Oct,26,30,75,1,24-Sep,24-Sep,1,
81,1-Oct,26,37,70,1,24-Sep,24-Sep,1,
82,1-Oct,26,37,70,1,24-Sep,24-Sep,1,
83,1-Oct,26,37,70,1,24-Sep,24-Sep,1,
84,1-Oct,26,32,76,1,24-Sep,24-Sep,1,
85,1-Oct,26,32,76,1,24-Sep,24-Sep,1,
86,2-Oct,21,8,80,1,25-Sep,25-Sep,1,
87,2-Oct,21,8,80,1,25-Sep,25-Sep,1,
88,2-Oct,21,6,81,1,25-Sep,25-Sep,1,
89,2-Oct,21,6,81,1,25-Sep,25-Sep,1,
90,2-Oct,21,6,81,1,25-Sep,25-Sep,1,
91,2-Oct,21,15,82,1,25-Sep,25-Sep,1,
92,2-Oct,21,15,82,1,25-Sep,25-Sep,1,
93,2-Oct,21,15,82,1,25-Sep,25-Sep,1,
94,2-Oct,21,11,83,1,25-Sep,25-Sep,1,
95,2-Oct,21,11,83,1,25-Sep,25-Sep,1,
96,2-Oct,21,9,84,1,25-Sep,25-Sep,1,
97,2-Oct,26,29,87,1,25-Sep,25-Sep,1,
98,2-Oct,26,29,87,1,25-Sep,25-Sep,1,
99,2-Oct,26,30,88,1,25-Sep,25-Sep,1,
100,2-Oct,26,30,88,1,25-Sep,25-Sep,1,
101,2-Oct,26,32,86,1,25-Sep,25-Sep,1,
102,2-Oct,26,32,86,1,25-Sep,25-Sep,1,
103,2-Oct,26,37,85,1,25-Sep,25-Sep,1,
104,2-Oct,26,31,89,1,25-Sep,25-Sep,1,
105,3-Oct,21,8,92,1,26-Sep,26-Sep,1,
106,3-Oct,21,8,92,1,26-Sep,26-Sep,1,
107,3-Oct,21,6,91,1,30-Sep,30-Sep,1,
108,3-Oct,21,6,91,1,30-Sep,30-Sep,1,
109,3-Oct,21,6,91,1,30-Sep,30-Sep,1,
110,3-Oct,21,15,97,1,30-Sep,30-Sep,1,
111,3-Oct,21,15,97,1,30-Sep,30-Sep,1,
112,3-Oct,21,15,97,1,30-Sep,30-Sep,1,
113,3-Oct,21,11,95,1,30-Sep,30-Sep,1,
114,3-Oct,21,11,95,1,30-Sep,30-Sep,1,
115,3-Oct,21,9,93,1,30-Sep,30-Sep,1,
116,3-Oct,21,10,94,1,30-Sep,30-Sep,1,
117,3-Oct,21,10,94,1,30-Sep,30-Sep,1,
118,3-Oct,26,29,98,1,30-Sep,30-Sep,1,
119,3-Oct,26,29,98,1,30-Sep,30-Sep,1,
120,3-Oct,26,30,99,1,30-Sep,30-Sep,1,
121,3-Oct,26,30,99,1,30-Sep,30-Sep,1,
122,3-Oct,26,32,100,1,30-Sep,30-Sep,1,
123,3-Oct,26,32,100,1,30-Sep,30-Sep,1,
124,3-Oct,26,37,101,1,30-Sep,30-Sep,1,
125,3-Oct,26,25,103,1,30-Sep,30-Sep,1,
126,3-Oct,26,25,103,1,30-Sep,30-Sep,1,
127,3-Oct,26,25,103,1,30-Sep,30-Sep,1,
128,3-Oct,26,25,103,1,30-Sep,30-Sep,1,
129,3-Oct,26,25,103,1,30-Sep,30-Sep,1,
