Vial Number,Day Crosse ,Treatment,F1 Vial ,Virgin Vial,# of Females,Day Collected,Male Date,# of Males,Notes
65,20-Aug,Control,215,10,1,13-Aug,13-Aug,1,
66,20-Aug,Control,215,10,1,13-Aug,13-Aug,1,
67,20-Aug,Control,215,10,1,13-Aug,13-Aug,1,
68,20-Aug,Control,216,11,1,13-Aug,13-Aug,1,
69,20-Aug,Control,216,11,1,13-Aug,13-Aug,1,
70,20-Aug,Control,218,13,1,13-Aug,13-Aug,1,
71,20-Aug,Control,218,13,1,13-Aug,13-Aug,1,
72,20-Aug,Control,218,13,1,13-Aug,13-Aug,1,
73,20-Aug,Control,220,15,1,13-Aug,13-Aug,1,
74,20-Aug,Control,220,15,1,13-Aug,13-Aug,1,
75,20-Aug,Control,220,15,1,13-Aug,13-Aug,1,
76,20-Aug,Control,220,15,1,13-Aug,13-Aug,1,
77,21-Aug,Control,213,16,1,14-Aug,14-Aug,1,
78,21-Aug,Control,214,17,1,14-Aug,14-Aug,1,
79,21-Aug,Control,215,18,1,14-Aug,14-Aug,1,
80,21-Aug,Control,215,18,1,14-Aug,14-Aug,1,
81,21-Aug,Control,216,19,1,14-Aug,14-Aug,1,
82,21-Aug,Control,220,21,1,14-Aug,14-Aug,1,
83,21-Aug,Control,220,21,1,14-Aug,14-Aug,1,
84,22-Aug,Control,213,23,1,15-Aug,15-Aug,1,M (flew away)
85,22-Aug,Control,213,23,1,15-Aug,15-Aug,1,M
86,22-Aug,Control,214,24,1,15-Aug,15-Aug,1,M
87,22-Aug,Control,214,24,1,15-Aug,15-Aug,1,M
88,22-Aug,Control,215,25,1,15-Aug,15-Aug,1,M
89,22-Aug,Control,215,25,1,15-Aug,15-Aug,1,M
90,22-Aug,Control,215,25,1,15-Aug,15-Aug,1,M
91,22-Aug,Control,216,26,1,15-Aug,15-Aug,1,M
92,22-Aug,Control,216,26,1,15-Aug,15-Aug,1,M
93,22-Aug,Control,218,27,1,15-Aug,15-Aug,1,M
94,22-Aug,Control,218,27,1,15-Aug,15-Aug,1,M
95,22-Aug,Control,220,28,1,15-Aug,15-Aug,1,M
96,22-Aug,Control,220,28,1,15-Aug,15-Aug,1,M
